Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.607413837	6.585632801	-18.17252541	NaN
0.607425392	6.586802006	-18.17252541	NaN
0.607436977	6.600477219	-18.17252541	NaN
0.607448537	6.61563158	-18.17252541	NaN
0.607460134	6.5960989	-18.17252541	NaN
0.60747169	6.61028862	-18.17252541	NaN
0.607483264	6.598924637	-18.17252541	NaN
0.607494868	6.609505653	-18.17252541	NaN
0.607506429	6.617022991	-18.17252541	NaN
0.60751798	6.615233421	-18.17252541	NaN
0.60752959	6.608892441	-18.17252541	NaN
0.607541125	6.591866016	-18.17252541	NaN
0.607552719	6.596476555	-18.17252541	NaN
0.607564302	6.591367245	-18.17252541	NaN
0.607575868	6.580426693	-18.17252541	NaN
0.607587462	6.683814526	-18.17252541	NaN
0.607599032	6.642294884	-18.17252541	NaN
0.607610586	6.554716587	-18.17252541	NaN
0.607622177	6.578226566	-18.17252541	NaN
0.60763375	6.57823658	-18.17252541	NaN
0.607645313	6.615818501	-18.17252541	NaN
0.607656914	6.579875946	-18.17252541	NaN
0.607668479	6.583613873	-18.17252541	NaN
0.607680033	6.542550087	-18.17252541	NaN
0.607691618	6.575965881	-18.17252541	NaN
0.607703197	6.559458733	-18.17252541	NaN
0.607714761	6.569155216	-18.17252541	NaN
0.607726332	6.56529665	-18.17252541	NaN
0.607737907	6.595991612	-18.17252541	NaN
0.607749488	6.555216312	-18.17252541	NaN
0.607761064	6.569318295	-18.17252541	NaN
0.607772638	6.529213429	-18.17252541	NaN
0.60778421	6.556665421	-18.17252541	NaN
0.607795803	6.526544094	-18.17252541	NaN
0.607807383	6.531887054	-18.17252541	NaN
0.60781892	6.524036408	-18.17252541	NaN
0.607830523	6.521718502	-18.17252541	NaN
0.6078421	6.514647961	-18.17252541	NaN
0.607853675	6.50452137	-18.17252541	NaN
0.607865246	6.509818077	-18.17252541	NaN
